_id,name,enabled,deduped_id,name meta phones,address,address meta phones,city,state,postal code,phone,website,averate rating,rating count,review count,feature count,source count,geo,dupe count,dupe ids
50a31e0916631e870200cbd8,ápizz,true,,PS,217 Eldridge St.,"217,ELTRTK",New York,NY,10002,212-253-9199,,4.5,1,10,8,1,undefined,0,
50a31ed716631e870207b69c,Çiğköftem,true,,FTM,438 E 9th St,"438,90",New York,NY,10009,212-777-8767,,-1,0,0,7,1,undefined,0,
50a31def16631e87020029c3,wd-50,true,,"T,50",50 Clinton St,"50,KLNTN",New York,NY,10002,(212) 477-2900,www.wd-50.com,3,1,9,23,2,"40.719637,-73.9846531",4,"4fdb748de0795a6846ead1d4,50a31de216631e870200085d,50a31def16631e87020029c3,50a333e76d33ad8203033204"
50a333e76d33ad8203033204,wd-50,false,50a31def16631e87020029c3,"T,50",50 Clinton St,"50,KLNTN",New York,NY,10002,(212) 477-2900,www.wd-50.com,3.3000000000000003,3,58,16,3,undefined,4,"4fdb748de0795a6846ead1d4,50a333e76d33ad8203033204,50a31def16631e87020029c3,50a31de216631e870200085d"
50a31ef516631e8702083635,tbsp,true,,TBSP,17 W 20th St,"17,200",New York,NY,10011,(646) 230-7000,www.spoonnyc.com,5,1,8,14,3,"40.74026,-73.992381",0,
50a334076d33ad820303cfe3,tara thai,false,4fdb77e2e0795a6846efa384,"TR,0",137 1st Ave,"137,1ST",New York,NY,10003,(212) 777-5141,,4.5,2,15,8,2,undefined,3,"4fdb77e2e0795a6846efa384,50a334076d33ad820303cfe3,50a31e4716631e8702023fe8"
50a31e4716631e8702023fe8,tara thai,false,4fdb77e2e0795a6846efa384,"TR,0",137 1st Ave,"137,1ST",New York,NY,10003,(212) 777-5141,,-1,2,0,11,1,undefined,3,"4fdb77e2e0795a6846efa384,50a31e4716631e8702023fe8,50a334076d33ad820303cfe3"
50a31f8416631e87020b6547,taimBest of Citysearch Winner,true,,"TMBST,STSRKSH,WNR",222 Waverly Pl,"22,WFRL",New York,NY,10014,(212) 691-1287,www.taimfalafel.com,5,1,11,8,1,"40.73596,-74.001816",0,
50a31ee216631e8702082973,schachter restaurant,true,,SKHKSHTR,555 w 18th st,"55,180",new york,NY,10011,(212) 404-1046,,-1,0,0,1,1,"40.745373,-74.00783",0,
50a31f5f16631e87020ae585,samalitas 333,true,,"SMLT,33",333 Hudson St,"33,HTSN",New York,NY,10014,(212) 243-3381,,-1,0,0,3,1,"40.727125,-74.007683",0,
50a334056d33ad820303c25f,pukk,false,50a31d2aad50537c020050ea,PK,75 1st Ave,"75,1ST",New York,NY,10003,(212) 253-2742,www.pukknyc.com,3.75,2,11,11,2,undefined,2,"50a334056d33ad820303c25f,50a31d2aad50537c020050ea"
50a31f4e16631e87020ad838,popbar,true,,PPBR,5 Carmine St,"5,KRMN",New York,NY,10014,(212) 255-4874,www.pop-bar.com,4.666666666666667,3,8,9,3,"40.730571,-74.002029",0,
50a31e7516631e87020502db,natural green market,true,,"NTR,KRN,MRKT",162 3rd ave,"162,3RT",New York,NY,10003,(212) 780-0263,,-1,0,0,6,1,undefined,0,
50a31e0d16631e87020137ef,l.e.s. sushi,true,,SKSH,515 Grand St,"515,KRNT",New York,NY,10002,(212) 982-1907,,-1,0,0,6,1,undefined,0,
50a31f5016631e87020ada55,kuym Restaurant,true,,KM,48 Barrow St Ste 1014,"48,BR,1014",New York,NY,10014,(212) 727-8886,,-1,0,0,1,1,"40.732192,-74.004627",0,
50a31dfa16631e870200589b,il Laboratorio del Gelato,true,,"IL,LBRTR,TL,JLT",188 Ludlow St,"18,LTL",New York,NY,10002,(212) 343-9922,www.laboratoriodelgelato.com,4.25,2,3,15,3,undefined,0,
50a31e3716631e870201fe34,friend house 2,true,,"FRNT,HS",225 E. 14th St,"25,140",New York,NY,10003,(212) 982-1688,,2.95,1,10,1,1,"40.733013,-73.986032",3,"50a31e3716631e870201fe34,4fdb74eae0795a6846eb5bc7,50a3345e6d33ad820305fcff"
50a3345e6d33ad820305fcff,friend house 2,false,50a31e3716631e870201fe34,"FRNT,HS",225 E. 14th St,"25,140",New York,NY,10003,(212) 982-1688,,2.95,1,10,1,1,"40.733013,-73.986032",3,"50a31e3716631e870201fe34,4fdb74eae0795a6846eb5bc7,50a3345e6d33ad820305fcff"
50a333796d33ad820300245a,eet,true,,ET,3rd Fl,"3RT,FL",New York,NY,10013,(877) 338-6697,www.eetnow.com,3.5,1,7,8,1,undefined,0,
50a31f0616631e8702085ad0,daBhang Cafe,true,,"TBHNK,KF",45 W 8th St,"45,80",New York,NY,10011,(212) 475-1711,,5,1,1,1,1,"-73.998574,-73.998574",4,"4fdb7731e0795a6846ee9c3e,50a31f4c16631e87020ad509,50a31f0616631e8702085ad0,50a333c76d33ad820302791e"
50a333c76d33ad820302791e,daBhang Cafe,false,50a31f0616631e8702085ad0,"TBHNK,KF",45 W 8th St,"45,80",New York,NY,10011,(212) 475-1711,,5,1,1,1,1,"-73.998574,-73.998574",4,"4fdb7731e0795a6846ee9c3e,50a333c76d33ad820302791e,50a31f4c16631e87020ad509,50a31f0616631e8702085ad0"
50a31e3616631e870201f595,d.b.a.,true,,,41 1st Ave,"41,1ST",New York,NY,10003,(212) 475-5097,www.drinkgoodstuff.com/ny,3.825,2,11,12,3,"40.724202,-73.987938",0,
